"time_window","link_100","link_101","link_102","link_103","link_104","link_105","link_106","link_107","link_108","link_109","link_110","link_111","link_112","link_113","link_114","link_115","link_116","link_117","link_118","link_119","link_120","link_121","link_122","link_123"
"[2016-08-31 09:20:00,2016-08-31 09:40:00)","6.02","0","0","13.13","0","9.08","0","6.11","8.05","0","12.52","16.27","0","0","104.81","0","0","186.73","113.07","1.24","1.35","0","42.75","7.72"
"[2016-08-31 09:40:00,2016-08-31 10:00:00)","0","6.12","7.52","34.39","17.98","0","1.11","10.06","6.07","6.99","13.03","12.71","51.93","18.02","16.72","7.1","12.87","72.33","18.79","0.89","1.11","8.55","41.9","7.25"
"[2016-08-31 10:00:00,2016-08-31 10:20:00)","0","0","0","0","0","0","0","4.23","4.94","0","11.72","0","0","0","38.66","0","0","32.39","25.38","0.99","0.96","0","34.81","6.77"
"[2016-08-31 10:20:00,2016-08-31 10:40:00)","9.57","6.17","11.55","6.02","17.36","11.38","1.67","3.79","4.52","7.69","10.17","13.8","44.5","28.91","17.52","20.69","14.18","22.23","41.6","1.14","0.56","9.29","47.27","5.41"
"[2016-08-31 10:40:00,2016-08-31 11:00:00)","6.27","0","0","2.49","0","8.44","0","3.05","3.96","0","9.35","13.09","0","0","15.72","0","0","41.07","17.52","0.94","0.74","0","27.68","4.9"
"[2016-08-31 11:00:00,2016-08-31 11:20:00)","7.15","5.58","11.41","14.71","24.29","17.28","1.19","3.77","4.5","10.02","11.05","10.71","41.83","23.26","14.5","12.54","14.05","36.36","17.82","0.74","0.84","8.27","32.28","5.41"
"[2016-08-31 11:20:00,2016-08-31 11:40:00)","5.12","0","0","8.93","0","12.38","0","2.42","3.02","0","7.76","13.53","0","0","12.49","0","0","24.94","15.18","0.62","0.66","0","38.97","3.89"
"[2016-08-31 11:40:00,2016-08-31 12:00:00)","5.53","7.41","0","14.03","0","8.73","1.82","2.73","3.77","0","8.62","14.0","0","21.73","19.75","0","15.16","18.99","22.37","0.93","0.62","14.3","37.37","5.07"
"[2016-08-31 12:00:00,2016-08-31 12:20:00)","5.39","4.68","0","1.76","0","7.16","0.86","3.29","4.2","0","9.61","9.54","0","8.53","14.28","0","10.13","13.89","15.72","0.79","0.66","20.31","26.36","5.3"
"[2016-08-31 12:20:00,2016-08-31 12:40:00)","4.73","0","0","4.91","0","9.22","0","2.67","3.75","0","12.99","39.59","0","0","12.43","0","0","27.76","17.85","0.64","1.34","0","28.08","4.29"
"[2016-08-31 12:40:00,2016-08-31 13:00:00)","6.58","0","9.18","5.92","26.18","9.9","0","3.01","3.43","8.21","19.05","32.24","31.81","0","13.09","12.1","0","27.85","14.79","0.65","0.67","0","37.77","5.39"
"[2016-08-31 13:00:00,2016-08-31 13:20:00)","6.47","8.42","0","3.55","0","8.02","1.55","2.42","2.85","0","10.15","31.14","0","41.55","12.1","0","18.24","21.55","17.46","0.57","0.6","12.16","25.63","3.83"
"[2016-08-31 13:20:00,2016-08-31 13:40:00)","6.36","5.21","9.59","6.89","20.73","13.53","0.66","4.21","5.52","10.15","10.88","16.24","75.84","30.34","13.39","13.2","14.04","45.29","15.6","0.61","0.91","5.51","36.39","5.81"
"[2016-08-31 13:40:00,2016-08-31 14:00:00)","5.33","0","0","1.96","0","8.96","0","3.61","4.46","0","13.84","10.51","0","0","18.27","0","0","31.02","21.38","0.91","0.69","0","48.29","6.17"
"[2016-08-31 14:00:00,2016-08-31 14:20:00)","5.37","7.85","10.15","5.34","26.18","8.26","2.3","3.13","3.76","9.73","8.51","21.3","28.62","22.38","13.45","9.93","15.93","32.73","16.55","0.68","0.62","13.58","39.23","4.53"
"[2016-08-31 14:20:00,2016-08-31 14:40:00)","4.91","0","0","28.18","0","12.71","0","3.86","4.71","0","9.7","20.14","0","0","17.4","0","0","21.45","38.5","0.79","0.71","0","37.91","4.7"
"[2016-08-31 14:40:00,2016-08-31 15:00:00)","4.51","6.72","6.97","2.15","17.89","4.98","1.56","4.47","4.78","6.79","12.04","12.11","54.78","42.41","26.0","8.04","15.26","0","34.11","1.08","0","15.24","32.62","6.31"
"[2016-08-31 15:00:00,2016-08-31 15:20:00)","4.44","5.57","0","10.93","0","7.25","1.0","3.37","4.58","0","10.92","12.34","0","37.81","15.88","0","13.02","34.12","16.64","0.89","0.82","11.09","29.89","5.42"
"[2016-08-31 15:20:00,2016-08-31 15:40:00)","5.11","6.06","16.71","16.67","37.38","6.47","2.31","3.46","3.14","17.22","10.55","14.36","25.39","44.76","14.0","13.65","14.97","20.49","16.58","0.72","0.67","9.46","26.2","5.62"
"[2016-08-31 15:40:00,2016-08-31 16:00:00)","4.25","0","0","2.18","0","4.48","0","3.66","5.81","0","8.67","16.59","0","0","13.47","0","0","25.25","16.63","1.0","0.72","0","36.24","4.45"
"[2016-08-31 16:00:00,2016-08-31 16:20:00)","5.62","8.33","0","2.22","0","6.62","3.57","11.83","3.75","0","10.23","11.71","0","47.9","10.36","0","17.85","30.42","13.78","0.47","0.66","11.92","23.21","4.9"
"[2016-08-31 16:20:00,2016-08-31 16:40:00)","0","0","0","0","0","0","0","3.76","5.96","0","10.07","0","0","0","16.86","0","0","26.14","24.28","1.08","0.79","0","29.64","5.02"
"[2016-08-31 16:40:00,2016-08-31 17:00:00)","0","0","0","0","0","0","0","3.22","3.37","0","8.14","0","0","0","13.38","0","0","29.6","18.52","0.6","2.54","0","171.57","4.13"
"[2016-08-31 17:00:00,2016-08-31 17:20:00)","0","0","0","0","0","0","0","3.92","4.63","0","11.64","0","0","0","28.55","0","0","37.58","29.7","1.3","0.67","0","22.46","5.1"
"[2016-08-31 17:20:00,2016-08-31 17:40:00)","5.56","5.94","0","4.21","0","9.63","11.23","3.63","3.27","0","9.71","18.3","0","10.0","13.06","0","11.35","34.82","14.99","0.64","0.71","9.13","29.97","4.86"
"[2016-08-31 17:40:00,2016-08-31 18:00:00)","5.59","6.27","0","1.84","0","9.99","1.76","3.91","3.77","0","9.13","10.17","0","38.56","15.68","0","12.96","20.75","22.5","0.76","0.66","10.79","27.26","4.87"
"[2016-08-31 18:00:00,2016-08-31 18:20:00)","5.63","5.87","8.43","2.09","18.39","5.06","1.19","3.51","5.6","8.1","8.42","32.94","16.18","21.35","0","9.71","12.94","187.45","0","0","1.2","7.96","37.05","4.93"
"[2016-08-31 18:20:00,2016-08-31 18:40:00)","0","0","0","0","0","0","0","4.47","5.13","0","8.17","0","0","0","23.73","0","0","30.35","39.8","1.5","0.84","0","163.06","5.12"
"[2016-08-31 18:40:00,2016-08-31 19:00:00)","17.68","0","0","11.56","0","23.98","0","3.03","3.53","0","10.61","48.06","0","0","13.54","0","0","25.5","17.18","0.61","0.67","0","35.69","5.11"
"[2016-08-31 19:00:00,2016-08-31 19:20:00)","5.18","6.45","17.59","5.58","39.34","37.59","1.83","2.93","3.82","18.13","10.7","17.76","31.78","27.59","13.85","14.37","14.43","17.54","18.86","0.76","13.38","9.28","22.77","4.87"
"[2016-08-31 19:20:00,2016-08-31 19:40:00)","0","0","9.21","2.08","21.95","0","0","6.11","5.23","8.58","9.04","10.02","17.73","0","11.12","11.44","0","35.08","12.88","0.52","0.91","0","25.93","5.37"
"[2016-08-31 19:40:00,2016-08-31 20:00:00)","5.58","0","0","2.49","0","11.0","0","5.15","6.29","0","13.08","23.96","0","0","13.7","0","0","31.2","14.35","0.64","1.28","0","26.73","6.72"
"[2016-08-31 20:00:00,2016-08-31 20:20:00)","5.25","0","0","2.08","0","7.8","0","2.97","3.81","0","8.11","10.94","0","0","14.18","0","0","20.25","16.34","0.67","0.62","0","23.21","4.32"
"[2016-08-31 20:20:00,2016-08-31 20:40:00)","0","0","8.83","42.45","20.98","0","0","2.27","2.61","9.0","7.25","14.23","15.73","0","15.05","11.15","0","0","15.51","0.64","0","0","86.75","4.03"
"[2016-08-31 20:40:00,2016-08-31 21:00:00)","5.51","6.42","8.96","6.68","20.04","9.5","1.75","3.14","3.97","8.84","10.62","28.46","17.26","38.59","15.22","11.37","15.55","18.49","22.51","0.67","0.69","7.6","31.98","4.28"
"[2016-08-31 21:00:00,2016-08-31 21:20:00)","0","5.46","9.55","1.66","19.12","0","1.5","4.1","4.02","8.24","10.26","9.87","54.63","29.14","14.74","14.34","12.2","32.15","16.35","0.47","0.83","8.92","21.42","5.85"
"[2016-08-31 21:20:00,2016-08-31 21:40:00)","12.62","5.89","0","1.68","0","44.22","1.88","4.13","3.7","0","18.41","8.84","0","27.03","0","0","11.87","26.43","0","0","0.64","9.4","0","9.22"
"[2016-08-31 21:40:00,2016-08-31 22:00:00)","0","0","0","0","0","0","0","3.5","4.32","0","9.89","0","0","0","0","0","0","27.22","0","0","0.81","0","0","4.54"
"[2016-08-31 22:00:00,2016-08-31 22:20:00)","0","0","0","0","0","0","0","3.62","4.76","0","10.36","0","0","0","0","0","0","22.92","0","0","0.75","0","0","5.39"
"[2016-08-31 22:20:00,2016-08-31 22:40:00)","0","0","0","0","0","0","0","3.54","4.27","0","11.4","0","0","0","15.53","0","0","19.06","18.41","0.75","0.66","0","26.48","5.58"
"[2016-08-31 22:40:00,2016-08-31 23:00:00)","0","0","0","0","0","0","0","5.73","6.04","0","26.26","0","0","0","30.16","0","0","0","31.38","1.39","0","0","49.08","9.94"
"[2016-08-31 23:00:00,2016-08-31 23:20:00)","0","0","0","0","0","0","0","3.67","4.05","0","11.6","0","0","0","15.11","0","0","24.52","17.94","0.69","0.83","0","22.82","5.99"
"[2016-08-31 23:20:00,2016-08-31 23:40:00)","0","0","0","0","0","0","0","3.19","3.28","0","49.5","0","0","0","13.85","0","0","0","42.74","0.67","0","0","27.49","6.16"
"[2016-09-01 00:00:00,2016-09-01 00:20:00)","5.03","7.28","6.9","1.55","15.66","14.91","1.3","2.73","3.41","6.32","23.84","10.21","16.3","27.51","13.38","7.82","15.6","55.13","17.21","0.6","0.77","10.23","40.11","4.22"
"[2016-09-01 00:20:00,2016-09-01 00:40:00)","4.3","16.91","9.11","16.29","18.7","9.13","1.3","2.63","3.46","7.29","10.81","10.92","16.32","12.48","22.19","8.44","14.78","28.77","26.49","0.73","0.56","41.14","33.36","4.63"
"[2016-09-01 00:40:00,2016-09-01 01:00:00)","0","4.34","23.46","1.36","15.62","0","1.14","2.97","3.51","21.63","8.25","7.52","10.7","18.51","14.75","19.16","9.85","14.15","16.1","0.8","0.61","7.04","24.76","4.51"
"[2016-09-01 01:00:00,2016-09-01 01:20:00)","0","0","0","0","0","0","0","2.56","3.27","0","7.38","0","0","0","0","0","0","13.46","0","0","0.55","0","0","4.03"
"[2016-09-01 01:20:00,2016-09-01 01:40:00)","0","0","0","0","0","0","0","2.09","3.08","0","9.67","0","0","0","0","0","0","30.83","0","0","0.46","0","0","3.24"
"[2016-09-01 02:00:00,2016-09-01 02:20:00)","6.32","5.96","9.02","1.91","15.72","3.9","1.48","0","0","7.75","0","10.61","11.59","34.41","0","9.93","12.72","0","0","0","0","9.25","0","0"
"[2016-09-01 02:20:00,2016-09-01 02:40:00)","0","6.69","8.67","26.01","20.56","0","0.52","2.58","3.41","8.48","8.56","13.05","17.04","4.97","14.76","8.96","16.25","0","18.45","0.82","0","66.12","23.08","4.42"
"[2016-09-01 03:00:00,2016-09-01 03:20:00)","6.88","0","0","2.73","0","6.01","0","2.74","3.48","0","7.84","14.36","0","0","0","0","0","21.42","0","0","0.68","0","23.37","4.28"
"[2016-09-01 03:40:00,2016-09-01 04:00:00)","0","0","0","0","0","0","0","2.15","3.32","0","9.83","0","0","0","0","0","0","19.84","0","0","0.58","0","0","3.43"
"[2016-09-01 04:00:00,2016-09-01 04:20:00)","0","0","0","0","0","0","0","2.98","4.2","0","12.45","0","0","0","0","0","0","33.94","0","0","0.71","0","0","5.09"
"[2016-09-01 04:20:00,2016-09-01 04:40:00)","5.8","6.18","6.63","11.4","15.94","8.33","9.09","3.11","3.75","6.76","10.8","33.59","11.63","16.98","14.93","8.0","13.41","29.35","28.22","0.65","0.68","21.18","21.32","5.25"
"[2016-09-01 04:40:00,2016-09-01 05:00:00)","5.64","0","0","3.52","0","9.38","0","2.69","3.71","0","9.86","14.7","0","0","15.72","0","0","12.1","17.56","0.87","0.53","0","36.48","4.73"
"[2016-09-01 05:00:00,2016-09-01 05:20:00)","4.41","5.35","7.73","1.55","16.69","8.1","0.78","2.67","3.96","7.0","7.97","8.48","12.92","12.46","15.85","8.73","11.74","25.34","21.89","0.68","1.07","46.45","59.6","4.3"
"[2016-09-01 05:20:00,2016-09-01 05:40:00)","6.79","0","0","5.16","0","11.29","0","2.71","3.56","0","11.31","13.32","0","0","14.8","0","0","19.14","102.44","0.65","0.65","0","31.53","4.31"
"[2016-09-01 05:40:00,2016-09-01 06:00:00)","5.12","6.43","8.51","2.13","19.35","6.04","2.05","2.74","3.49","8.25","9.62","11.13","15.56","19.67","10.92","9.16","14.06","18.44","13.75","0.49","0.56","33.15","21.56","4.41"
"[2016-09-01 06:00:00,2016-09-01 06:20:00)","4.46","8.96","9.29","11.38","22.24","8.62","1.58","3.03","3.92","8.7","8.39","12.35","15.43","15.13","14.19","7.53","18.98","51.8","16.92","0.79","0.71","39.15","17.75","4.68"
"[2016-09-01 06:20:00,2016-09-01 06:40:00)","5.74","35.02","0","12.57","0","8.21","0.41","2.82","3.9","0","9.51","13.41","0","24.21","13.49","0","16.48","25.03","71.38","0.67","0.64","3.21","43.09","5.19"
"[2016-09-01 06:40:00,2016-09-01 07:00:00)","9.18","15.73","8.76","9.08","19.38","13.8","1.45","3.17","4.72","8.53","11.25","15.41","16.31","17.88","10.05","8.54","16.93","39.55","12.07","0.55","0.94","29.57","20.5","5.25"
"[2016-09-01 07:00:00,2016-09-01 07:20:00)","5.55","6.38","7.63","2.37","18.11","12.29","1.17","4.09","5.83","7.36","13.82","12.35","30.55","21.0","116.64","9.18","13.76","49.17","35.2","1.51","1.05","20.84","25.44","4.6"
"[2016-09-01 07:20:00,2016-09-01 07:40:00)","5.08","7.14","9.61","1.66","19.88","27.43","1.81","4.64","13.35","8.46","14.87","9.1","36.18","17.35","15.07","11.11","12.34","52.42","21.03","0.77","0.86","54.85","34.34","6.38"
"[2016-09-01 07:40:00,2016-09-01 08:00:00)","9.07","6.72","10.14","2.47","27.47","17.68","1.49","3.14","4.13","8.59","10.6","17.39","28.38","13.83","14.99","11.69","12.98","30.1","23.07","0.82","0.78","43.89","30.05","4.69"
"[2016-09-01 08:00:00,2016-09-01 08:20:00)","6.1","7.08","10.33","2.16","26.62","11.38","1.8","3.47","4.72","9.08","10.48","16.55","22.95","25.93","15.09","12.72","16.49","34.52","22.17","0.89","0.95","24.12","34.59","5.39"
"[2016-09-01 08:20:00,2016-09-01 08:40:00)","4.7","6.53","9.51","2.37","19.01","7.38","7.89","4.08","5.59","8.73","9.42","20.38","23.16","23.42","21.36","18.75","15.03","84.13","39.28","1.22","0.94","26.99","40.45","5.14"
"[2016-09-01 08:40:00,2016-09-01 09:00:00)","4.98","5.84","8.67","9.84","19.86","9.29","1.22","4.18","7.36","8.35","11.19","12.2","34.72","21.6","14.35","13.3","17.53","91.79","18.91","0.76","1.19","26.28","38.02","7.34"
"[2016-09-01 09:00:00,2016-09-01 09:20:00)","6.76","8.11","9.29","3.29","20.93","11.27","1.94","2.82","3.69","8.16","10.78","15.25","31.83","23.1","17.02","12.17","19.33","41.75","21.97","0.88","0.68","24.79","37.48","4.42"
"[2016-09-01 09:20:00,2016-09-01 09:40:00)","4.88","6.04","8.8","2.02","19.55","6.97","9.87","3.96","4.64","8.17","11.34","12.01","32.13","30.27","13.33","12.52","19.79","55.74","22.71","0.73","0.99","30.66","27.69","5.34"
"[2016-09-01 09:40:00,2016-09-01 10:00:00)","4.9","6.48","8.9","2.49","19.68","9.69","1.57","5.32","4.68","8.3","10.4","14.85","27.64","22.27","15.63","10.34","13.57","31.89","18.46","1.04","0.68","12.94","28.39","5.8"
"[2016-09-01 10:00:00,2016-09-01 10:20:00)","4.86","6.47","10.03","3.54","24.76","8.59","6.8","2.88","4.28","9.08","12.05","18.97","32.37","13.98","15.13","12.04","27.06","22.73","22.5","0.81","0.86","27.57","30.81","4.54"
"[2016-09-01 10:20:00,2016-09-01 10:40:00)","5.8","11.56","11.78","3.41","20.21","9.53","1.34","3.44","4.65","8.16","12.75","24.05","32.65","14.53","14.61","12.31","18.11","36.68","27.82","0.79","0.8","38.74","48.43","4.98"
"[2016-09-01 10:40:00,2016-09-01 11:00:00)","9.46","6.64","0","3.54","0","12.82","1.67","3.09","4.0","0","14.25","18.44","0","15.94","15.83","0","13.86","25.54","18.72","0.76","0.67","58.37","39.36","4.99"
"[2016-09-01 11:00:00,2016-09-01 11:20:00)","8.32","4.98","7.9","1.59","17.13","7.8","1.44","2.94","3.39","7.33","8.42","8.75","13.79","16.02","20.83","8.62","10.91","21.78","15.62","0.71","0.64","24.04","40.62","4.56"
"[2016-09-01 11:20:00,2016-09-01 11:40:00)","5.22","7.39","11.46","3.83","25.62","8.68","1.29","3.11","4.07","11.81","10.4","16.68","45.99","12.4","15.83","11.45","15.41","20.0","18.82","0.86","0.63","25.78","32.85","5.09"
"[2016-09-01 11:40:00,2016-09-01 12:00:00)","4.06","5.75","8.31","1.47","18.26","5.75","1.33","3.11","4.29","7.99","8.23","9.66","45.78","17.2","17.48","9.16","11.82","27.28","13.59","1.55","0.66","10.06","22.03","4.68"
"[2016-09-01 12:00:00,2016-09-01 12:20:00)","4.75","5.58","8.88","1.72","18.0","7.51","3.12","3.05","3.92","8.11","14.63","8.2","13.84","23.12","13.76","8.95","11.17","37.18","16.58","0.77","0.58","13.85","26.52","5.51"
"[2016-09-01 12:20:00,2016-09-01 12:40:00)","3.35","4.88","0","1.33","0","4.51","11.48","3.3","4.56","0","11.39","7.0","0","15.75","0","0","10.41","34.2","0","0","0.76","8.6","0","4.86"
"[2016-09-01 12:40:00,2016-09-01 13:00:00)","4.3","7.56","9.21","3.15","26.11","7.4","1.35","3.2","4.02","8.88","8.8","17.32","33.99","14.83","12.33","10.22","15.16","31.02","14.54","0.6","0.77","35.57","33.82","4.08"
"[2016-09-01 13:00:00,2016-09-01 13:20:00)","6.53","9.03","8.48","3.13","20.06","9.51","1.59","3.79","4.64","8.26","12.63","17.47","52.94","34.48","14.34","10.56","18.4","26.72","16.66","0.81","0.8","25.02","38.37","6.19"
"[2016-09-01 13:20:00,2016-09-01 13:40:00)","6.26","5.64","8.07","3.45","18.01","9.15","1.2","5.47","4.82","7.15","10.59","11.36","24.24","10.13","14.86","8.97","13.09","23.61","16.27","0.64","0.58","23.36","47.67","6.39"
"[2016-09-01 13:40:00,2016-09-01 14:00:00)","4.45","5.22","8.59","2.22","19.51","7.82","1.29","2.66","3.85","8.46","11.67","17.58","22.2","12.32","35.16","10.6","15.1","13.41","20.11","0.74","0.77","35.52","29.51","5.1"
"[2016-09-01 14:00:00,2016-09-01 14:20:00)","5.43","4.89","9.11","1.58","18.55","10.08","0.48","3.06","3.78","8.09","8.36","22.58","13.99","4.65","13.66","12.68","9.6","24.65","15.15","0.8","0.65","70.78","35.9","4.6"
"[2016-09-01 14:20:00,2016-09-01 14:40:00)","5.51","7.6","8.11","2.18","17.81","9.01","1.71","3.14","4.41","7.46","9.44","15.9","34.16","32.19","17.44","12.37","16.04","41.27","23.8","0.87","0.88","19.79","35.23","5.29"
"[2016-09-01 14:40:00,2016-09-01 15:00:00)","4.56","21.72","10.83","1.88","22.6","12.09","1.04","3.23","3.88","11.04","9.28","10.41","44.57","13.66","15.08","8.85","13.34","27.46","17.98","0.7","0.69","11.9","26.11","4.6"
"[2016-09-01 15:00:00,2016-09-01 15:20:00)","5.26","0","8.61","4.39","19.94","11.33","0","7.04","2.77","8.1","7.99","43.9","16.14","0","0","11.78","0","24.27","0","0","0.43","0","32.97","3.5"
"[2016-09-01 15:20:00,2016-09-01 15:40:00)","4.03","5.16","0","1.4","0","7.0","1.04","3.85","5.44","0","12.86","7.73","0","29.18","16.03","0","10.18","31.28","16.67","0.9","0.87","7.89","19.46","4.44"
"[2016-09-01 15:40:00,2016-09-01 16:00:00)","4.77","0","9.93","4.18","19.28","5.76","0","5.71","4.73","8.79","7.42","23.35","22.85","0","16.49","23.63","0","35.06","35.33","1.1","0.86","0","48.89","4.42"
"[2016-09-01 16:00:00,2016-09-01 16:20:00)","5.21","24.45","9.02","4.1","22.35","8.91","1.54","3.14","4.0","6.27","8.13","11.34","45.48","37.54","16.01","9.89","14.12","33.56","23.91","1.04","0.73","13.34","31.31","4.24"
"[2016-09-01 16:20:00,2016-09-01 16:40:00)","4.96","7.11","11.86","3.98","21.15","7.12","1.19","2.49","4.42","9.71","12.78","21.2","52.42","11.44","15.37","12.95","16.05","30.0","18.45","0.9","0.99","39.01","25.55","4.16"
"[2016-09-01 16:40:00,2016-09-01 17:00:00)","0","5.69","7.88","1.64","19.79","0","0.89","2.77","3.74","7.98","9.57","9.18","33.09","8.56","17.69","10.46","12.22","17.92","19.98","1.01","0.54","52.05","30.19","4.67"
"[2016-09-01 17:00:00,2016-09-01 17:20:00)","5.05","5.8","9.84","2.27","19.69","7.09","1.78","2.94","3.64","8.92","12.35","12.68","50.41","21.91","14.48","13.54","14.14","22.71","17.24","0.76","0.6","26.07","40.78","5.12"
"[2016-09-01 17:20:00,2016-09-01 17:40:00)","0","5.72","8.83","3.9","21.28","0","1.67","2.65","3.53","9.1","12.09","21.0","16.8","21.84","13.26","10.34","14.28","34.18","14.84","0.87","0.66","10.22","24.41","4.61"
"[2016-09-01 17:40:00,2016-09-01 18:00:00)","4.67","6.18","0","3.11","0","7.26","1.12","3.67","4.62","0","11.65","15.98","0","23.72","14.64","0","14.06","43.49","17.45","0.75","0.87","8.47","26.9","6.06"
"[2016-09-01 18:00:00,2016-09-01 18:20:00)","12.99","0","0","5.15","0","13.61","0","2.74","3.92","0","9.1","27.11","0","0","0","0","0","24.25","0","0","0.64","0","44.13","4.35"
"[2016-09-01 18:20:00,2016-09-01 18:40:00)","0","0","0","0","0","0","0","2.79","4.45","0","9.18","0","0","0","0","0","0","24.61","0","0","0.84","0","7.07","4.83"
"[2016-09-01 18:40:00,2016-09-01 19:00:00)","5.58","11.04","9.18","13.11","21.6","14.08","1.87","2.85","3.59","8.55","7.95","14.9","46.75","24.34","22.1","12.09","20.7","19.46","37.36","1.1","0.61","15.7","23.62","4.25"
"[2016-09-01 19:00:00,2016-09-01 19:20:00)","5.06","7.51","26.01","2.03","20.59","7.27","1.69","3.48","9.35","9.76","13.99","9.65","14.67","23.1","17.79","11.55","13.5","50.92","29.9","1.26","1.01","10.56","21.12","6.87"
"[2016-09-01 19:20:00,2016-09-01 19:40:00)","0","0","0","0","0","0","0","3.2","4.98","0","10.37","0","0","0","12.92","0","0","23.86","14.98","0.59","1.02","0","16.69","5.51"
"[2016-09-01 19:40:00,2016-09-01 20:00:00)","9.96","6.97","10.18","3.14","23.06","13.4","1.37","3.61","4.85","8.67","10.66","17.21","46.74","13.17","33.31","14.52","14.97","27.72","32.86","1.08","0.77","50.02","29.48","5.3"
"[2016-09-01 20:00:00,2016-09-01 20:20:00)","6.31","9.54","8.84","1.86","19.76","10.25","1.48","3.45","4.84","8.56","9.68","10.29","16.51","24.72","15.95","9.76","15.0","44.78","16.66","1.21","0.95","33.08","39.3","5.23"
"[2016-09-01 20:20:00,2016-09-01 20:40:00)","5.41","7.03","7.88","1.81","18.91","7.42","1.12","2.41","2.98","6.99","7.03","15.78","16.11","10.78","17.79","10.5","16.98","12.0","45.4","0.96","0.4","39.2","19.43","4.06"
"[2016-09-01 20:40:00,2016-09-01 21:00:00)","7.59","6.12","0","7.62","0","10.72","2.03","2.45","3.21","0","6.59","14.82","0","19.44","18.38","0","27.97","41.47","15.33","0.66","0.52","13.93","21.97","3.73"
"[2016-09-01 21:00:00,2016-09-01 21:20:00)","7.8","7.43","0","4.19","0","10.5","1.49","3.06","4.03","0","10.37","16.28","0","14.26","17.59","0","20.72","17.17","20.56","0.95","0.68","36.36","45.51","5.48"
"[2016-09-01 21:20:00,2016-09-01 21:40:00)","7.62","0","0","18.29","0","11.26","0","3.43","3.73","0","9.12","17.09","0","0","13.14","0","0","17.33","16.38","0.61","0.73","0","25.16","5.07"
"[2016-09-01 21:40:00,2016-09-01 22:00:00)","0","0","0","0","0","0","0","2.39","3.57","0","7.05","0","0","0","0","0","0","30.11","0","0","0.54","0","0","3.92"
"[2016-09-01 22:00:00,2016-09-01 22:20:00)","0","0","0","0","0","0","0","3.57","7.23","0","8.62","0","0","0","14.18","0","0","24.16","17.99","0.69","0.67","0","35.04","4.36"
"[2016-09-01 22:20:00,2016-09-01 22:40:00)","0","4.62","7.7","1.38","15.07","0","1.04","0","0","7.01","0","6.94","11.26","9.98","0","10.08","9.85","0","0","0","0","27.59","0","0"
"[2016-09-01 22:40:00,2016-09-01 23:00:00)","10.75","7.07","0","2.99","0","14.46","1.12","2.02","3.31","0","6.83","39.48","0","10.8","5.39","0","14.49","36.14","5.61","0.24","1.25","10.19","5.36","3.27"
"[2016-09-01 23:00:00,2016-09-01 23:20:00)","0","0","0","0","0","0","0","2.86","3.36","0","11.61","0","0","0","13.85","0","0","0","20.22","0.73","0","0","25.27","4.96"
"[2016-09-01 23:20:00,2016-09-01 23:40:00)","0","0","0","0","0","0","0","2.89","4.24","0","9.98","0","0","0","0","0","0","14.4","0","0","0.64","0","0","3.78"
"[2016-09-02 00:00:00,2016-09-02 00:20:00)","5.32","7.3","10.71","2.3","23.95","7.04","1.12","3.7","5.46","11.03","13.41","20.61","29.0","10.87","0","8.75","15.38","42.96","0","0","6.84","29.86","32.07","4.68"
"[2016-09-02 00:20:00,2016-09-02 00:40:00)","4.32","5.67","0","1.39","0","4.05","1.29","2.65","3.63","0","9.59","8.18","0","19.73","17.08","0","10.9","0","16.13","1.17","0","9.28","22.21","4.12"
"[2016-09-02 00:40:00,2016-09-02 01:00:00)","5.11","5.23","0","22.51","0","9.84","1.62","5.62","7.18","0","13.41","11.75","0","15.57","56.78","0","11.56","27.34","16.7","2.72","0.85","23.87","22.94","8.73"
"[2016-09-02 01:00:00,2016-09-02 01:20:00)","3.96","3.77","6.84","4.01","18.95","5.59","0.67","3.06","3.6","7.09","9.8","10.15","37.0","6.47","17.8","6.42","59.7","0","30.63","0.81","0","5.3","29.05","5.3"
"[2016-09-02 01:20:00,2016-09-02 01:40:00)","5.55","0","0","12.89","0","6.55","0","2.46","3.24","0","7.09","13.98","0","0","14.21","0","0","0","21.34","0.8","0","0","29.42","3.71"
"[2016-09-02 02:00:00,2016-09-02 02:20:00)","0","0","0","0","0","0","0","3.56","7.37","0","11.8","0","0","0","0","0","0","42.95","0","0","1.84","0","0","5.41"
"[2016-09-02 02:20:00,2016-09-02 02:40:00)","0","0","0","0","0","0","0","2.08","2.45","0","6.11","0","0","0","13.58","0","0","0","22.54","0.55","0","0","39.82","3.49"
"[2016-09-02 02:40:00,2016-09-02 03:00:00)","0","0","0","0","0","0","0","3.18","5.71","0","11.55","0","0","0","25.94","0","0","0","75.65","1.95","0","0","41.99","5.11"
"[2016-09-02 03:00:00,2016-09-02 03:20:00)","12.82","0","0","45.83","0","28.14","0","2.29","3.92","0","7.15","12.55","0","0","0","0","0","31.75","0","0","0.68","0","43.11","4.13"
"[2016-09-02 03:20:00,2016-09-02 03:40:00)","4.69","0","0","22.58","0","5.01","0","0","0","0","0","12.57","0","0","0","0","0","0","0","0","0","0","31.75","0"
"[2016-09-02 03:40:00,2016-09-02 04:00:00)","5.42","9.79","0","1.71","0","8.17","2.08","0","0","0","0","9.61","0","84.27","0","0","13.95","0","0","0","0","15.32","0","0"
